elev_ft,stor_af
1160.0,1650.0
1170.0,2450.0
1171.0,2530.0
1172.0,2610.0
1173.0,2690.0
1174.0,2770.0
1175.0,2850.0
1176.0,2940.0
1177.0,3030.0
1178.0,3120.0
1179.0,3210.0
1180.0,3300.0
1181.0,3400.0
1182.0,3500.0
1183.0,3600.0
1184.0,3700.0
1185.0,3800.0
1186.0,3910.0
1187.0,4020.0
1188.0,4130.0
1189.0,4240.0
1190.0,4350.0
1191.0,4470.0
1192.0,4590.0
1193.0,4710.0
1194.0,4830.0
1195.0,4950.0
1196.0,5080.0
1197.0,5210.0
1198.0,5340.0
1199.0,5440.0
1200.0,5600.0
1201.0,5730.0
1202.0,5870.0
1203.0,6010.0
1204.0,6150.0
1205.0,6290.0
1206.0,6430.0
1207.0,6570.0
1208.0,6720.0
1209.0,6870.0
1210.0,7020.0
1211.0,7170.0
1212.0,7320.0
1213.0,7470.0
1214.0,7620.0
1215.0,7770.0
1216.0,7920.0
1217.0,8070.0
1218.0,8230.0
1219.0,8390.0
1220.0,8550.0
