elev_ft,stor_af
1131.0,530.0
1132.0,570.0
1133.0,610.0
1134.0,620.0
1135.0,660.0
1136.0,680.0
1137.0,710.0
1138.0,730.0
1139.0,750.0
1140.0,820.0
1141.0,860.0
1142.0,890.0
1143.0,920.0
1144.0,970.0
1145.0,990.0
1146.0,1000.0
1147.0,1010.0
1148.0,1100.0
1149.0,1200.0
1150.0,1230.0
1152.0,1300.0
1153.0,1400.0
1154.0,1450.0
1155.0,1500.0
1156.0,1600.0
1157.0,1690.0
1158.0,1770.0
1159.0,1800.0
1160.0,1900.0
1161.0,2000.0
1162.0,2050.0
1163.0,2100.0
1164.0,2200.0
1165.0,2300.0
1166.0,2400.0
1167.0,2500.0
1168.0,2600.0
1169.0,2700.0
1170.0,2800.0
1171.0,2900.0
1172.0,3000.0
1173.0,3100.0
1174.0,3200.0
1175.0,3300.0
1176.0,3500.0
1177.0,3600.0
1178.0,3700.0
1179.0,3800.0
1180.0,4000.0
1181.0,4100.0
1182.0,4200.0
1183.0,4400.0
1184.0,4500.0
1185.0,4700.0
1186.0,4800.0
1187.0,4900.0
1188.0,5100.0
1189.0,5200.0
1190.0,5400.0
1191.0,5600.0
1192.0,5700.0
1193.0,5900.0
1194.0,6000.0
1195.0,6200.0
1196.0,6400.0
1197.0,6500.0
1198.0,6700.0
1199.0,6900.0
1200.0,7000.0
1201.0,7200.0
1202.0,7400.0
1203.0,7600.0
1204.0,7700.0
1205.0,7900.0
1206.0,8100.0
1207.0,8300.0
1208.0,8500.0
1209.0,8700.0
1210.0,8900.0
1211.0,9100.0
1212.0,9300.0
1213.0,9500.0
1214.0,9700.0
1215.0,9900.0
1216.0,10200.0
1217.0,10400.0
1218.0,10600.0
1219.0,10800.0
1220.0,11000.0
1221.0,11300.0
1222.0,11500.0
1223.0,11700.0
1224.0,12000.0
1225.0,12200.0
1226.0,12500.0
1227.0,12700.0
1228.0,13000.0
1229.0,13200.0
1230.0,13500.0
1231.0,13700.0
1232.0,14000.0
1233.0,14200.0
1234.0,14500.0
1235.0,14800.0
1236.0,15100.0
1237.0,15300.0
1238.0,15600.0
1239.0,15900.0
1240.0,16200.0
1241.0,16500.0
1242.0,16800.0
1243.0,17100.0
1244.0,17400.0
1245.0,17700.0
1246.0,18000.0
1247.0,18300.0
1248.0,18600.0
1249.0,18900.0
1250.0,19300.0
1251.0,19600.0
1252.0,19900.0
1253.0,20300.0
1254.0,20600.0
1255.0,21000.0
1256.0,21300.0
1257.0,21700.0
1258.0,22000.0
1259.0,22400.0
1260.0,22800.0
1261.0,23100.0
1262.0,23500.0
1263.0,23900.0
1264.0,24300.0
1265.0,24700.0
1266.0,25100.0
1267.0,25500.0
1268.0,26000.0
1269.0,26400.0
1270.0,26800.0
1271.0,27300.0
1272.0,27700.0
1273.0,28200.0
1274.0,28600.0
1275.0,29100.0
1276.0,29600.0
1277.0,30100.0
1278.0,30500.0
1279.0,31000.0
1280.0,31500.0
1281.0,32100.0
1282.0,32600.0
1283.0,33100.0
1284.0,33600.0
1285.0,34200.0
1286.0,34700.0
1287.0,35300.0
1288.0,35800.0
1289.0,36400.0
1290.0,37000.0
1291.0,37500.0
1292.0,38100.0
1293.0,38700.0
1294.0,39300.0
1295.0,39900.0
1296.0,40600.0
1297.0,41200.0
1298.0,41800.0
1299.0,42400.0
1300.0,43100.0
1301.0,43700.0
1302.0,44400.0
1303.0,45100.0
1304.0,45700.0
1305.0,46400.0
1306.0,47100.0
1307.0,47600.0
1308.0,48500.0
1309.0,49200.0
1310.0,49900.0
1311.0,50600.0
1312.0,51300.0
1313.0,52000.0
1314.0,52800.0
1315.0,53500.0
1316.0,54200.0
1317.0,55000.0
1318.0,55700.0
1319.0,56500.0
1320.0,57200.0
1321.0,58000.0
1322.0,58800.0
1323.0,59600.0
1324.0,60300.0
1325.0,61100.0
1326.0,61900.0
1327.0,62700.0
1328.0,63500.0
1329.0,64400.0
1330.0,65200.0
1331.0,66000.0
1332.0,66800.0
1333.0,67700.0
1334.0,68500.0
1335.0,69400.0
1336.0,70200.0
1337.0,71100.0
1338.0,72000.0
1339.0,72800.0
1340.0,73800.0
1341.0,74600.0
1342.0,75500.0
1343.0,76400.0
1344.0,77300.0
1345.0,78200.0
1346.0,79100.0
1347.0,80000.0
1348.0,81000.0
1349.0,81900.0
1350.0,82800.0
1351.0,83800.0
1352.0,84700.0
1353.0,85700.0
1354.0,86600.0
1355.0,87582.0
1356.0,88550.0
1357.0,89522.0
1358.0,90499.0
1359.0,91479.0
1360.0,92462.0
1361.0,93451.0
1362.0,94448.0
1363.0,95450.0
1364.0,96458.0
1365.0,97472.0
1366.0,98490.0
1367.0,99514.0
1368.0,100543.0
1369.0,101578.0
1370.0,102617.0
1371.0,103663.0
1372.0,104713.0
1373.0,105769.0
1374.0,106831.0
1375.0,107898.0
1376.0,108970.0
1377.0,110048.0
1378.0,111131.0
1379.0,112220.0
