elev_ft,stor_af
720.0,3.0
721.0,8.0
722.0,15.0
723.0,23.0
724.0,32.0
725.0,44.0
726.0,57.0
727.0,84.0
728.0,95.0
729.0,120.0
730.0,150.0
731.0,185.0
732.0,227.0
733.0,276.0
734.0,333.0
735.0,399.0
736.0,475.0
737.0,564.0
738.0,669.0
739.0,788.0
740.0,925.0
741.0,1077.0
742.0,1244.0
743.0,1427.0
744.0,1626.0
745.0,1843.0
746.0,2074.0
747.0,2319.0
748.0,2578.0
749.0,2851.0
750.0,3139.0
751.0,3443.0
752.0,3767.0
753.0,4112.0
754.0,4477.0
755.0,4865.0
756.0,5274.0
757.0,5707.0
758.0,6164.0
759.0,6645.0
760.0,7153.0
761.0,7681.0
762.0,8227.0
763.0,8791.0
764.0,9373.0
765.0,9973.0
766.0,10591.0
767.0,11228.0
768.0,11884.0
769.0,12559.0
770.0,13255.0
771.0,13971.0
772.0,14711.0
773.0,15474.0
774.0,16262.0
775.0,17074.0
776.0,17908.0
777.0,18764.0
778.0,19641.0
779.0,20541.0
780.0,21463.0
781.0,22405.0
782.0,23367.0
783.0,24348.0
784.0,25350.0
785.0,26371.0
786.0,27412.0
787.0,28473.0
788.0,29556.0
789.0,30659.0
790.0,31784.0
791.0,32928.0
792.0,34101.0
793.0,35283.0
794.0,36482.0
795.0,37700.0
796.0,38938.0
797.0,40196.0
798.0,41474.0
799.0,42772.0
800.0,44090.0
801.0,45428.0
802.0,46786.0
803.0,48164.0
804.0,49562.0
805.0,50980.0
806.0,52418.0
807.0,53876.0
808.0,55354.0
809.0,56852.0
810.0,58370.0
811.0,59908.0
