elev_ft,stor_af
1221.0,0.1
1222.0,0.7
1223.0,2.3
1224.0,6.0
1225.0,12.0
1226.0,20.0
1227.0,31.0
1228.0,45.0
1229.0,61.0
1230.0,79.0
1231.0,98.0
1232.0,119.0
1233.0,143.0
1234.0,169.0
1235.0,197.0
1236.0,227.0
1237.0,259.0
1238.0,292.0
1239.0,327.0
1240.0,364.0
1241.0,402.0
1242.0,442.0
1243.0,484.0
1244.0,528.0
1245.0,575.0
1246.0,625.0
1247.0,678.0
1248.0,734.0
1249.0,792.0
1250.0,854.0
1251.0,919.0
1252.0,988.0
1253.0,1060.0
1254.0,1136.0
1255.0,1214.0
1256.0,1296.0
1257.0,1381.0
1258.0,1470.0
1259.0,1562.0
1260.0,1658.0
1261.0,1758.0
1262.0,1861.0
1263.0,1967.0
1264.0,2078.0
1265.0,2192.0
1266.0,2310.0
1267.0,2431.0
1268.0,2556.0
1269.0,2685.0
1270.0,2817.0
1271.0,2953.0
1272.0,3093.0
1273.0,3237.0
1274.0,3386.0
1275.0,3540.0
1276.0,3699.0
1277.0,3863.0
1278.0,4032.0
1279.0,4204.0
1280.0,4382.0
1281.0,4564.0
1282.0,4752.0
1283.0,4945.0
1284.0,5145.0
1285.0,5352.0
1286.0,5566.0
1287.0,5786.0
1288.0,6011.0
1289.0,6243.0
1290.0,6480.0
1291.0,6724.0
1292.0,6972.0
1293.0,7227.0
1294.0,7489.0
1295.0,7757.0
1296.0,8032.0
1297.0,8315.0
1298.0,8607.0
1299.0,8908.0
1300.0,9216.0
1301.0,9530.0
1302.0,9849.0
1303.0,10175.0
1304.0,10507.0
1305.0,10847.0
1306.0,11192.0
1307.0,11546.0
1308.0,11906.0
1309.0,12275.0
1310.0,12652.0
1311.0,13038.0
1312.0,13433.0
1313.0,13836.0
1314.0,14247.0
1315.0,14665.0
1316.0,15089.0
1317.0,15521.0
1318.0,15958.0
1319.0,16402.0
1320.0,16853.0
1321.0,17309.0
1322.0,17772.0
1323.0,18241.0
1324.0,18715.0
1325.0,19195.0
1326.0,19682.0
1327.0,20179.0
1328.0,20684.0
1329.0,21198.0
1330.0,21720.0
1331.0,22250.0
1332.0,22790.0
1333.0,23340.0
1334.0,23899.0
1335.0,24466.0
1336.0,25044.0
1337.0,25631.0
1338.0,26229.0
1339.0,26836.0
1340.0,27453.0
1341.0,28077.0
1342.0,28708.0
1343.0,29346.0
1344.0,29991.0
1345.0,30643.0
1346.0,31302.0
1347.0,31968.0
1348.0,32644.0
1349.0,33329.0
1350.0,34024.0
1351.0,34730.0
1352.0,35446.0
1353.0,36172.0
1354.0,36909.0
1355.0,37656.0
1356.0,38414.0
1357.0,39181.0
1358.0,39957.0
1359.0,40741.0
1360.0,41534.0
1361.0,42334.0
1362.0,43144.0
1363.0,43963.0
1364.0,44791.0
1365.0,45628.0
1366.0,46474.0
1367.0,47329.0
1368.0,48195.0
1369.0,49071.0
1370.0,49958.0
1371.0,50855.0
1372.0,51763.0
1373.0,52681.0
1374.0,53608.0
1375.0,54543.0
1376.0,55485.0
1377.0,56434.0
1378.0,57392.0
1379.0,58357.0
1380.0,59331.0
1381.0,60314.0
1382.0,61306.0
1383.0,62305.0
1384.0,63311.0
1385.0,64325.0
1386.0,65346.0
1387.0,66376.0
1388.0,67415.0
1389.0,68463.0
1390.0,69520.0
1391.0,70586.0
1392.0,71661.0
1393.0,72745.0
1394.0,73838.0
1395.0,74939.0
1396.0,76048.0
1397.0,77164.0
1398.0,78290.0
1399.0,79425.0
1400.0,80569.0
1401.0,81724.0
1402.0,82888.0
1403.0,84062.0
1404.0,85244.0
1405.0,86436.0
1406.0,87636.0
1407.0,88845.0
1408.0,90064.0
1409.0,91291.0
1410.0,92527.0
1411.0,93771.0
1412.0,95023.0
1413.0,96282.0
1414.0,97549.0
1415.0,98823.0
1416.0,100103.0
1417.0,101390.0
1418.0,102682.0
1419.0,103981.0
1420.0,105285.0
1421.0,106595.0
1422.0,107911.0
1423.0,109233.0
1424.0,110560.0
1425.0,111892.0
1426.0,113230.0
1427.0,114574.0
1428.0,115924.0
1429.0,117280.0
1430.0,118645.0
1431.0,120020.0
1432.0,121409.0
1433.0,122810.0
1434.0,124223.0
1435.0,125646.0
1436.0,127076.0
1437.0,128513.0
1438.0,129960.0
1439.0,131416.0
1440.0,132880.0
1441.0,134353.0
1442.0,135838.0
1443.0,137337.0
1444.0,138850.0
1445.0,140378.0
1446.0,141923.0
1447.0,143485.0
1448.0,145064.0
1449.0,146658.0
1450.0,148267.0
1451.0,149894.0
1452.0,151536.0
1453.0,153193.0
1454.0,154866.0
1455.0,156555.0
1456.0,158260.0
1457.0,159979.0
1458.0,161714.0
1459.0,163464.0
1460.0,165227.0
1461.0,167005.0
1462.0,168795.0
1463.0,170598.0
1464.0,172416.0
1465.0,174246.0
1466.0,176091.0
1467.0,177949.0
1468.0,179821.0
1469.0,181708.0
1470.0,183609.0
1471.0,185523.0
1472.0,187451.0
1473.0,189392.0
1474.0,191347.0
1475.0,193314.0
1476.0,195294.0
1477.0,197287.0
1478.0,199293.0
1479.0,201314.0
1480.0,203349.0
1481.0,205399.0
1482.0,207462.0
1483.0,209538.0
1484.0,211629.0
1485.0,213733.0
1486.0,215850.0
1487.0,217981.0
1488.0,220125.0
1489.0,222281.0
1490.0,224452.0
1491.0,226638.0
1492.0,228840.0
1493.0,231055.0
1494.0,233285.0
1495.0,235528.0
1496.0,237785.0
1497.0,240055.0
1498.0,242339.0
1499.0,244638.0
1500.0,246952.0
1501.0,249280.0
1502.0,251621.0
1503.0,253977.0
1504.0,256348.0
1505.0,258733.0
1506.0,261133.0
1507.0,263548.0
1508.0,265980.0
1509.0,268427.0
1510.0,270889.0
1511.0,273365.0
1512.0,275856.0
1513.0,278361.0
1514.0,280881.0
1515.0,283416.0
1516.0,285968.0
1517.0,288535.0
1518.0,291118.0
1519.0,293716.0
1520.0,296331.0
1521.0,298962.0
1522.0,301610.0
1523.0,304274.0
1524.0,306955.0
1525.0,309653.0
1526.0,312368.0
1527.0,315100.0
1528.0,317849.0
1529.0,320615.0
1530.0,323398.0
1531.0,326200.0
1532.0,329020.0
1533.0,331858.0
1534.0,334715.0
1535.0,337590.0
1536.0,340485.0
1537.0,343399.0
1538.0,346335.0
1539.0,349291.0
1540.0,352268.0
1541.0,355266.0
1542.0,358283.0
1543.0,361321.0
1544.0,364380.0
1545.0,367459.0
1546.0,370561.0
1547.0,373685.0
1548.0,376832.0
1549.0,380004.0
1550.0,383199.0
1551.0,386418.0
1552.0,389661.0
