elev_ft,stor_af
638.0,1.0
638.1,2.0
638.2,3.0
638.3,4.0
638.4,5.0
638.5,6.0
638.6,7.0
638.7,8.0
638.8,9.0
638.9,10.0
639.0,11.0
639.1,14.0
639.2,16.0
639.3,18.0
639.4,21.0
639.5,23.0
639.6,26.0
639.7,29.0
639.8,31.0
639.9,33.0
640.0,36.0
640.1,40.0
640.2,44.0
640.3,48.0
640.4,52.0
640.5,56.0
640.6,59.0
640.7,63.0
640.8,67.0
640.9,71.0
641.0,75.0
641.1,80.0
641.2,84.0
641.3,88.0
641.4,93.0
641.5,98.0
641.6,102.0
641.7,107.0
641.8,111.0
641.9,115.0
642.0,120.0
642.1,125.0
642.2,130.0
642.3,135.0
642.4,140.0
642.5,146.0
642.6,151.0
642.7,156.0
642.8,161.0
642.9,166.0
643.0,171.0
643.1,177.0
643.2,183.0
643.3,188.0
643.4,194.0
643.5,200.0
643.6,206.0
643.7,212.0
643.8,217.0
643.9,223.0
644.0,229.0
644.1,236.0
644.2,242.0
644.3,248.0
644.4,255.0
644.5,262.0
644.6,268.0
644.7,275.0
644.8,281.0
644.9,287.0
645.0,294.0
645.1,302.0
645.2,310.0
645.3,317.0
645.4,325.0
645.5,333.0
645.6,341.0
645.7,349.0
645.8,356.0
645.9,364.0
646.0,372.0
646.1,382.0
646.2,392.0
646.3,401.0
646.4,411.0
646.5,421.0
646.6,431.0
646.7,441.0
646.8,450.0
646.9,460.0
647.0,470.0
647.1,482.0
647.2,494.0
647.3,506.0
647.4,518.0
647.5,530.0
647.6,542.0
647.7,554.0
647.8,566.0
647.9,578.0
648.0,590.0
648.1,604.0
648.2,619.0
648.3,633.0
648.4,647.0
648.5,662.0
648.6,676.0
648.7,690.0
648.8,704.0
648.9,719.0
649.0,733.0
649.1,750.0
649.2,767.0
649.3,784.0
649.4,801.0
649.5,818.0
649.6,836.0
649.7,853.0
649.8,870.0
649.9,887.0
650.0,904.0
650.1,923.0
650.2,942.0
650.3,960.0
650.4,979.0
650.5,998.0
650.6,1017.0
650.7,1036.0
650.8,1054.0
650.9,1073.0
651.0,1092.0
651.1,1112.0
651.2,1131.0
