elev_ft,stor_af
720.7,0.0
763.0,3800.0
764.0,4200.0
765.0,4600.0
766.0,5000.0
767.0,5400.0
768.0,5900.0
769.0,6300.0
770.0,6800.0
771.0,7400.0
772.0,7900.0
773.0,8400.0
774.0,9000.0
775.0,9500.0
776.0,10100.0
777.0,10700.0
778.0,11300.0
779.0,11900.0
780.0,12500.0
781.0,13200.0
782.0,13800.0
783.0,14500.0
784.0,15200.0
785.0,15900.0
786.0,16600.0
787.0,17300.0
788.0,18000.0
789.0,18800.0
790.0,19600.0
791.0,20400.0
792.0,21200.0
793.0,22000.0
794.0,22900.0
795.0,23800.0
796.0,24700.0
797.0,25600.0
798.0,26500.0
799.0,27500.0
800.0,28500.0
801.0,29500.0
802.0,30500.0
803.0,31600.0
804.0,32600.0
805.0,33700.0
806.0,34800.0
807.0,35900.0
808.0,37100.0
809.0,38200.0
810.0,39400.0
811.0,40600.0
812.0,41800.0
813.0,43100.0
814.0,44300.0
815.0,45600.0
816.0,46900.0
817.0,48300.0
818.0,49700.0
819.0,51100.0
820.0,52500.0
821.0,53900.0
822.0,55400.0
823.0,56900.0
824.0,58500.0
825.0,60100.0
826.0,61700.0
827.0,63300.0
828.0,65000.0
829.0,66700.0
830.0,68500.0
831.0,70300.0
832.0,72100.0
833.0,73758.0
834.0,75628.0
835.0,77522.0
836.0,79437.0
837.0,81372.0
838.0,83327.0
839.0,85302.0
840.0,87297.0
841.0,89312.0
842.0,91347.0
843.0,93402.0
844.0,95477.0
845.0,97572.0
846.0,99687.0
847.0,101819.0
848.0,103966.0
849.0,106130.0
850.0,108307.0
851.0,110501.0
852.0,112711.0
853.0,114937.0
854.0,117181.0
855.0,119441.0
856.0,121717.0
857.0,124011.0
858.0,126322.0
859.0,128651.0
860.0,130997.0
