elev_ft,stor_af
672.0,0.0
680.0,0.1
680.1,0.2
680.2,0.3
680.3,0.4
680.5,0.5
680.6,0.7
680.7,0.8
680.8,0.9
680.9,1.0
681.0,1.2
681.1,1.3
681.2,1.6
681.3,2.0
681.4,2.4
681.5,2.8
681.6,3.2
681.7,3.7
681.8,4.2
681.9,4.7
682.0,5.3
682.1,5.8
682.2,6.4
682.3,7.0
682.4,7.7
682.5,8.4
682.6,9.0
682.7,9.7
682.8,10.5
682.9,11.2
683.0,12.0
683.1,12.8
683.2,13.6
683.3,14.4
683.4,15.2
683.5,16.1
683.6,17.0
683.7,17.9
683.8,18.9
683.9,19.9
684.0,20.9
684.1,21.9
684.2,23.0
684.3,24.1
684.4,25.2
684.5,26.3
684.6,27.5
684.7,28.8
684.8,30.0
684.9,31.3
685.0,32.6
685.1,34.0
685.2,35.4
685.3,36.8
685.4,38.3
685.5,39.8
685.6,41.3
685.7,42.8
685.8,44.4
685.9,46.0
686.0,47.6
686.1,49.3
686.2,51.0
686.3,52.8
686.4,54.5
686.5,56.4
686.6,58.2
686.7,60.1
686.8,62.0
686.9,64.0
687.0,66.0
687.1,68.0
687.2,70.1
687.3,72.2
687.4,74.4
687.5,76.5
687.6,78.7
687.7,81.0
687.8,83.3
687.9,85.6
688.0,87.9
688.1,90.3
688.2,92.8
688.3,95.4
688.4,98.1
688.5,100.9
688.6,103.8
688.7,106.8
688.8,109.8
688.9,112.9
689.0,116.2
689.1,119.4
689.2,122.8
689.3,126.2
689.4,129.8
689.5,133.4
689.6,137.1
689.7,140.9
689.8,144.9
689.9,148.9
690.0,153.0
690.1,157.2
690.2,161.6
690.3,166.1
690.4,170.7
690.5,175.4
690.6,180.3
690.7,185.3
690.8,190.4
690.9,195.7
691.0,201.1
691.1,206.5
691.2,212.1
691.3,217.9
691.4,223.8
691.5,230.0
691.6,236.3
691.7,242.8
691.8,249.6
691.9,256.5
692.0,263.6
692.1,271.0
692.2,278.5
692.3,286.1
692.4,293.9
692.5,301.8
692.6,309.9
692.7,318.1
692.8,326.4
692.9,334.9
693.0,343.4
693.1,352.0
693.2,360.7
693.3,369.6
693.4,378.5
693.5,387.5
693.6,396.6
693.7,405.7
693.8,415.0
693.9,424.4
694.0,433.8
694.1,443.3
694.2,452.9
694.3,462.6
694.4,472.3
694.5,482.1
694.6,492.0
694.7,502.0
694.8,512.0
694.9,522.1
695.0,532.3
695.1,542.6
695.2,552.9
695.3,563.3
695.4,573.8
695.5,584.4
695.6,595.1
695.7,605.8
695.8,616.7
695.9,627.6
696.0,638.5
696.1,649.6
696.2,660.7
696.3,671.9
696.4,683.2
696.5,694.5
696.6,706.0
696.7,717.5
696.8,729.1
696.9,740.9
697.0,752.7
697.1,764.6
697.2,776.7
697.3,788.9
697.4,801.2
697.5,813.6
697.6,826.1
697.7,838.8
697.8,851.5
697.9,864.4
698.0,877.4
698.1,890.4
698.2,903.6
698.3,916.9
698.4,930.2
698.5,943.7
698.6,957.2
698.7,970.8
698.8,984.6
698.9,998.4
699.0,1012.3
699.1,1026.3
699.2,1040.4
699.3,1054.6
699.4,1068.8
699.5,1083.2
699.6,1097.7
699.7,1112.3
699.8,1127.0
699.9,1141.8
700.0,1156.7
700.1,1171.7
700.2,1186.9
700.3,1202.1
700.4,1217.5
700.5,1233.0
700.6,1248.6
700.7,1264.3
700.8,1280.1
700.9,1296.1
701.0,1312.1
701.1,1328.3
701.2,1344.6
701.3,1360.9
701.4,1377.4
701.5,1394.0
701.6,1410.7
701.7,1427.4
701.8,1444.3
701.9,1461.3
702.0,1478.4
702.1,1495.5
702.2,1512.8
702.3,1530.2
702.4,1547.7
702.5,1565.3
702.6,1583.0
702.7,1600.8
702.8,1618.6
702.9,1636.6
703.0,1654.7
703.1,1672.8
703.2,1691.0
703.3,1709.3
703.4,1727.7
703.5,1746.1
703.6,1764.7
703.7,1783.3
703.8,1802.0
703.9,1820.8
704.0,1839.7
704.1,1858.6
704.2,1877.6
704.3,1896.7
704.4,1915.9
704.5,1935.1
704.6,1954.4
704.7,1973.8
704.8,1993.2
704.9,2012.8
705.0,2032.4
705.1,2052.0
705.2,2071.8
705.3,2091.6
705.4,2111.6
705.5,2131.6
705.6,2151.8
705.7,2172.0
705.8,2192.3
705.9,2212.8
706.0,2233.3
706.1,2254.0
706.2,2274.8
