elev_ft,stor_af
590.0,10400.0
600.0,19400.0
610.0,28400.0
611.0,29300.0
612.0,30200.0
613.0,31100.0
614.0,32000.0
615.0,32900.0
616.0,33800.0
617.0,34700.0
618.0,35700.0
619.0,36600.0
620.0,37600.0
621.0,38500.0
622.0,39500.0
623.0,40500.0
624.0,41500.0
625.0,42500.0
626.0,43600.0
627.0,44600.0
628.0,45700.0
629.0,46800.0
630.0,47900.0
631.0,49000.0
632.0,50100.0
633.0,51200.0
634.0,52400.0
635.0,53500.0
636.0,54700.0
637.0,55900.0
638.0,57100.0
639.0,58300.0
640.0,59500.0
641.0,60800.0
642.0,62100.0
643.0,63400.0
644.0,64700.0
645.0,66000.0
646.0,67400.0
647.0,68800.0
648.0,70200.0
649.0,71600.0
