elev_ft,stor_af
349.6,418.0
349.7,463.0
349.8,509.0
349.9,556.0
350.0,605.0
350.1,656.0
350.2,708.0
350.3,761.0
350.4,816.0
350.5,873.0
350.6,931.0
350.7,991.0
350.8,1052.0
350.9,1115.0
351.0,1179.0
351.1,1244.0
351.2,1312.0
351.3,1380.0
351.4,1450.0
351.5,1522.0
351.6,1595.0
351.7,1668.0
351.8,1744.0
351.9,1821.0
352.0,1901.0
352.1,1982.0
352.2,2065.0
352.3,2151.0
352.4,2238.0
352.5,2327.0
352.6,2418.0
352.7,2511.0
352.8,2606.0
352.9,2703.0
353.0,2802.0
353.1,2903.0
353.2,3005.0
353.3,3110.0
353.4,3217.0
353.5,3325.0
353.6,3436.0
353.7,3548.0
353.8,3663.0
353.9,3779.0
354.0,3897.0
354.1,4019.0
354.2,4143.0
354.3,4271.0
354.4,4402.0
354.5,4535.0
354.6,4672.0
354.7,4811.0
354.8,4954.0
354.9,5099.0
355.0,5247.0
355.1,5399.0
355.2,5553.0
355.3,5711.0
355.4,5871.0
355.5,6034.0
355.6,6201.0
355.7,6370.0
355.8,6543.0
355.9,6718.0
356.0,6896.0
356.1,7078.0
356.2,7262.0
356.3,7449.0
356.4,7639.0
356.5,7833.0
356.6,8029.0
356.7,8228.0
356.8,8430.0
356.9,8636.0
357.0,8844.0
357.1,9055.0
357.2,9269.0
357.3,9484.0
357.4,9702.0
357.5,9923.0
357.6,10148.0
357.7,10377.0
357.8,10609.0
357.9,10844.0
358.0,11083.0
358.1,11326.0
358.2,11572.0
358.3,11821.0
358.4,12074.0
358.5,12330.0
358.6,12590.0
358.7,12853.0
358.8,13120.0
358.9,13390.0
359.0,13664.0
359.1,13941.0
359.2,14221.0
359.3,14505.0
359.4,14793.0
359.5,15084.0
359.6,15378.0
359.7,15676.0
359.8,15978.0
359.9,16283.0
360.0,16591.0
360.1,16903.0
360.2,17218.0
360.3,17537.0
360.4,17860.0
360.5,18185.0
360.6,18515.0
360.7,18847.0
360.8,19184.0
360.9,19523.0
361.0,19866.0
361.1,20213.0
361.2,20563.0
361.3,20917.0
361.4,21274.0
361.5,21634.0
361.6,21998.0
361.7,22366.0
361.8,22736.0
361.9,23111.0
362.0,23489.0
362.1,23870.0
362.2,24255.0
362.3,24639.0
362.4,25028.0
362.5,25422.0
362.6,25821.0
362.7,26225.0
362.8,26634.0
362.9,27048.0
363.0,27466.0
363.1,27890.0
363.2,28319.0
363.3,28752.0
363.4,29191.0
363.5,29635.0
363.6,30083.0
363.7,30537.0
363.8,30995.0
363.9,31459.0
364.0,31927.0
364.1,32400.0
364.2,32879.0
364.3,33362.0
364.4,33850.0
364.5,34344.0
364.6,34842.0
364.7,35345.0
364.8,35853.0
364.9,36366.0
365.0,36884.0
365.1,37407.0
365.2,37935.0
365.3,38468.0
365.4,39006.0
365.5,39549.0
365.6,40096.0
365.7,40649.0
365.8,41207.0
365.9,41770.0
366.0,42337.0
366.1,42910.0
366.2,43488.0
366.3,44070.0
366.4,44658.0
366.5,45250.0
366.6,45848.0
366.7,46450.0
366.8,47057.0
366.9,47670.0
367.0,48287.0
367.1,48909.0
367.2,49536.0
367.3,50169.0
367.4,50806.0
367.5,51448.0
367.6,52095.0
367.7,52747.0
367.8,53404.0
367.9,54066.0
368.0,54733.0
368.1,55405.0
368.2,56082.0
368.3,56763.0
368.4,57450.0
368.5,58156.0
368.6,58866.0
368.7,59578.0
368.8,60293.0
368.9,61012.0
369.0,61733.0
369.1,62457.0
369.2,63185.0
369.3,63915.0
369.4,64648.0
369.5,65384.0
369.6,66124.0
369.7,66866.0
369.8,67611.0
369.9,68359.0
370.0,69110.0
370.1,69864.0
370.2,70622.0
370.3,71382.0
370.4,72145.0
370.5,72911.0
370.6,73680.0
370.7,74452.0
370.8,75227.0
370.9,76005.0
371.0,76786.0
371.1,77570.0
371.2,78357.0
371.3,79147.0
371.4,79940.0
371.5,80736.0
371.6,81535.0
371.7,82337.0
371.8,83142.0
371.9,83950.0
372.0,84761.0
372.1,85574.0
372.2,86391.0
372.3,87211.0
372.4,88034.0
372.5,88860.0
372.6,89689.0
372.7,90520.0
372.8,91355.0
372.9,92193.0
373.0,93034.0
373.1,93878.0
373.2,94724.0
373.3,95574.0
373.4,96427.0
373.5,97282.0
373.6,98141.0
373.7,99003.0
373.8,99867.0
373.9,100735.0
374.0,101606.0
374.1,102479.0
374.2,103356.0
374.3,104236.0
374.4,105118.0
374.5,106004.0
374.6,106892.0
374.7,107784.0
374.8,108678.0
374.9,109576.0
375.0,110476.0
375.1,111380.0
375.2,112286.0
375.3,113196.0
375.4,114108.0
375.5,115024.0
375.6,115942.0
375.7,116863.0
375.8,117788.0
375.9,118715.0
376.0,119645.0
377.0,129112.0
378.0,138878.0
379.0,148942.0
380.0,159305.0
381.0,169966.0
382.0,180926.0
383.0,192184.0
384.0,203741.0
385.0,215596.0
386.0,227750.0
