elev_ft,stor_af
695.0,0.0
699.0,0.1
700.0,0.2
701.0,0.3
702.0,0.4
703.0,0.6
704.0,0.9
705.0,1.2
706.0,2.0
707.0,3.0
708.0,4.0
709.0,5.0
710.0,7.0
711.0,9.0
712.0,12.0
713.0,14.0
714.0,17.0
715.0,20.0
716.0,24.0
717.0,30.0
718.0,36.0
719.0,43.0
720.0,51.0
721.0,60.0
722.0,70.0
723.0,81.0
724.0,93.0
725.0,107.0
726.0,121.0
727.0,137.0
728.0,154.0
729.0,173.0
730.0,193.0
731.0,214.0
732.0,236.0
733.0,261.0
734.0,287.0
735.0,315.0
736.0,345.0
737.0,378.0
738.0,412.0
739.0,449.0
740.0,488.0
741.0,529.0
742.0,572.0
743.0,617.0
744.0,663.0
745.0,711.0
746.0,763.0
747.0,816.0
748.0,871.0
749.0,927.0
750.0,986.0
751.0,1047.0
752.0,1111.0
753.0,1177.0
754.0,1246.0
755.0,1319.0
756.0,1395.0
757.0,1478.0
758.0,1568.0
759.0,1664.0
760.0,1766.0
761.0,1873.0
762.0,1986.0
763.0,2102.0
764.0,2223.0
765.0,2349.0
766.0,2480.0
767.0,2616.0
768.0,2758.0
769.0,2907.0
770.0,3064.0
771.0,3234.0
772.0,3414.0
773.0,3605.0
774.0,3807.0
775.0,4019.0
776.0,4239.0
777.0,4471.0
778.0,4712.0
779.0,4963.0
780.0,5223.0
781.0,5492.0
782.0,5770.0
783.0,6060.0
784.0,6364.0
785.0,6680.0
786.0,7007.0
787.0,7345.0
788.0,7692.0
789.0,8051.0
790.0,8421.0
791.0,8800.0
792.0,9190.0
793.0,9590.0
794.0,10000.0
795.0,10423.0
796.0,10857.0
797.0,11303.0
798.0,11760.0
799.0,12227.0
800.0,12707.0
801.0,13198.0
802.0,13703.0
803.0,14222.0
804.0,14756.0
805.0,15303.0
806.0,15862.0
807.0,16433.0
808.0,17017.0
809.0,17613.0
810.0,18221.0
811.0,18841.0
812.0,19472.0
813.0,20116.0
814.0,20771.0
815.0,21437.0
816.0,22115.0
817.0,22804.0
818.0,23507.0
819.0,24224.0
820.0,24956.0
821.0,25701.0
822.0,26460.0
823.0,27236.0
824.0,28029.0
825.0,28837.0
826.0,29660.0
827.0,30496.0
828.0,31346.0
829.0,32210.0
830.0,33088.0
831.0,33981.0
832.0,34887.0
833.0,35805.0
834.0,36734.0
835.0,37675.0
836.0,38627.0
837.0,39590.0
838.0,40562.0
839.0,41545.0
840.0,42538.0
841.0,43541.0
842.0,44554.0
843.0,45578.0
844.0,46613.0
845.0,47660.0
846.0,48718.0
847.0,49787.0
848.0,50868.0
849.0,51960.0
850.0,53062.0
851.0,54175.0
852.0,55298.0
853.0,56431.0
854.0,57575.0
855.0,58728.0
856.0,59893.0
857.0,61068.0
858.0,62254.0
859.0,63453.0
860.0,64664.0
861.0,65887.0
862.0,67124.0
863.0,68373.0
864.0,69635.0
865.0,70909.0
866.0,72197.0
867.0,73498.0
868.0,74814.0
869.0,76142.0
870.0,77485.0
871.0,78842.0
872.0,80216.0
873.0,81605.0
874.0,83008.0
875.0,84426.0
876.0,85856.0
877.0,87297.0
878.0,88750.0
879.0,90214.0
880.0,91690.0
881.0,93178.0
882.0,94678.0
883.0,96191.0
884.0,97718.0
885.0,99259.0
886.0,100812.0
887.0,102378.0
888.0,103957.0
889.0,105547.0
890.0,107149.0
891.0,108762.0
892.0,110387.0
893.0,112023.0
894.0,113671.0
895.0,115330.0
896.0,117001.0
897.0,118682.0
898.0,120375.0
899.0,122078.0
900.0,123792.0
901.0,125517.0
902.0,127254.0
903.0,129008.0
904.0,130780.0
905.0,132574.0
906.0,134389.0
907.0,136224.0
908.0,138078.0
909.0,139947.0
910.0,141831.0
911.0,143729.0
912.0,145642.0
913.0,147569.0
914.0,149510.0
915.0,151466.0
916.0,153437.0
917.0,155424.0
918.0,157428.0
919.0,159450.0
920.0,161490.0
921.0,163548.0
922.0,165628.0
923.0,167731.0
924.0,169858.0
925.0,172011.0
926.0,174190.0
927.0,176390.0
928.0,178612.0
929.0,180857.0
930.0,183124.0
931.0,185413.0
932.0,187725.0
933.0,190057.0
934.0,192411.0
935.0,194784.0
936.0,197178.0
937.0,199592.0
938.0,202026.0
939.0,204477.0
940.0,206944.0
941.0,209428.0
942.0,211931.0
943.0,214453.0
944.0,216994.0
945.0,219553.0
946.0,222131.0
947.0,224727.0
948.0,227345.0
949.0,229982.0
950.0,232641.0
951.0,235319.0
952.0,238016.0
953.0,240732.0
954.0,243468.0
955.0,246225.0
956.0,249003.0
957.0,251803.0
958.0,254623.0
959.0,257464.0
960.0,260324.0
961.0,263203.0
962.0,266100.0
963.0,269015.0
964.0,271948.0
965.0,274898.0
966.0,277864.0
967.0,280847.0
968.0,283847.0
969.0,286863.0
970.0,289894.0
971.0,292942.0
972.0,296006.0
973.0,299086.0
974.0,302183.0
975.0,305295.0
976.0,308421.0
977.0,311561.0
978.0,314715.0
979.0,317883.0
980.0,321066.0
981.0,324264.0
982.0,327476.0
983.0,330704.0
984.0,333947.0
985.0,337208.0
986.0,340486.0
987.0,343781.0
988.0,347094.0
989.0,350426.0
990.0,353775.0
991.0,357142.0
992.0,360526.0
993.0,363929.0
994.0,367347.0
995.0,370784.0
996.0,374238.0
997.0,377710.0
998.0,381199.0
999.0,384704.0
1000.0,388227.0
1001.0,391767.0
1002.0,395323.0
1003.0,398898.0
1004.0,402490.0
1005.0,406100.0
1006.0,409728.0
1007.0,413372.0
1008.0,417033.0
1009.0,420710.0
1010.0,424402.0
1011.0,428107.0
1012.0,431826.0
1013.0,435559.0
1014.0,439305.0
1015.0,443066.0
1016.0,446840.0
1017.0,450630.0
1018.0,454434.0
1019.0,458253.0
1020.0,462087.0
1021.0,465937.0
1022.0,469802.0
1023.0,473685.0
1024.0,477585.0
1025.0,481501.0
1026.0,485426.0
