elev_ft,stor_af
1414.0,106600.0
1414.1,106740.0
1414.2,106880.0
1414.3,107020.0
1414.4,107160.0
1414.5,107300.0
1414.6,107440.0
1414.7,107580.0
1414.8,107720.0
1414.9,107860.0
1415.0,108000.0
1415.1,108130.0
1415.2,108260.0
1415.3,108390.0
1415.4,108520.0
1415.5,108650.0
1415.6,108780.0
1415.7,108910.0
1415.8,109040.0
1415.9,109170.0
1416.0,109300.0
1416.1,109440.0
1416.2,109580.0
1416.3,109720.0
1416.4,109860.0
1416.5,110000.0
1416.6,110140.0
1416.7,110280.0
1416.8,110420.0
1416.9,110560.0
1417.0,110700.0
1417.1,110830.0
1417.2,110960.0
1417.3,111090.0
1417.4,111220.0
1417.5,111350.0
1417.6,111480.0
1417.7,111610.0
1417.8,111740.0
1417.9,111870.0
1418.0,112000.0
1418.1,112140.0
1418.2,112280.0
1418.3,112420.0
1418.4,112560.0
1418.5,112700.0
1418.6,112840.0
1418.7,112980.0
1418.8,113120.0
1418.9,113260.0
1419.0,113400.0
1419.1,113540.0
1419.2,113680.0
1419.3,113820.0
1419.4,113960.0
1419.5,114100.0
1419.6,114240.0
1419.7,114380.0
1419.8,114520.0
1419.9,114660.0
1420.0,114800.0
1420.1,114930.0
1420.2,115060.0
1420.3,115190.0
1420.4,115320.0
1420.5,115450.0
1420.6,115580.0
1420.7,115710.0
1420.8,115840.0
1420.9,115970.0
1421.0,116100.0
1421.1,116240.0
1421.2,116380.0
1421.3,116520.0
1421.4,116660.0
1421.5,116800.0
1421.6,116940.0
1421.7,117080.0
1421.8,117220.0
1421.9,117360.0
1422.0,117500.0
1422.1,117640.0
1422.2,117780.0
1422.3,117920.0
1422.4,118060.0
1422.5,118200.0
1422.6,118340.0
1422.7,118480.0
1422.8,118620.0
1422.9,118760.0
1423.0,118900.0
1423.1,119030.0
1423.2,119160.0
1423.3,119290.0
1423.4,119420.0
1423.5,119550.0
1423.6,119680.0
1423.7,119810.0
1423.8,119940.0
1423.9,120070.0
1424.0,120200.0
1424.1,120340.0
1424.2,120480.0
1424.3,120620.0
1424.4,120760.0
1424.5,120900.0
1424.6,121040.0
1424.7,121180.0
1424.8,121320.0
1424.9,121460.0
1425.0,121600.0
1425.1,121730.0
1425.2,121860.0
1425.3,121990.0
1425.4,122120.0
1425.5,122250.0
1425.6,122380.0
1425.7,122510.0
1425.8,122640.0
1425.9,122770.0
1426.0,122900.0
1426.1,123040.0
1426.2,123180.0
1426.3,123320.0
1426.4,123460.0
1426.5,123600.0
1426.6,123740.0
1426.7,123880.0
1426.8,124020.0
1426.9,124160.0
1427.0,124300.0
1427.1,124440.0
1427.2,124580.0
1427.3,124720.0
1427.4,124860.0
1427.5,125000.0
1427.6,125140.0
1427.7,125280.0
1427.8,125420.0
1427.9,125560.0
1428.0,125700.0
1428.1,125830.0
1428.2,125960.0
1428.3,126090.0
1428.4,126220.0
1428.5,126350.0
1428.6,126480.0
1428.7,126610.0
1428.8,126740.0
1428.9,126870.0
1429.0,127000.0
1429.1,127150.0
1429.2,127300.0
1429.3,127450.0
1429.4,127600.0
1429.5,127750.0
1429.6,127900.0
1429.7,128050.0
1429.8,128200.0
1429.9,128350.0
1430.0,128500.0
1430.1,128650.0
1430.2,128800.0
1430.3,128950.0
1430.4,129100.0
1430.5,129250.0
1430.6,129400.0
1430.7,129550.0
1430.8,129700.0
1430.9,129850.0
1431.0,130000.0
1431.1,130150.0
1431.2,130300.0
1431.3,130450.0
1431.4,130600.0
1431.5,130750.0
1431.6,130900.0
1431.7,131050.0
1431.8,131200.0
1431.9,131350.0
1432.0,131500.0
1432.1,131650.0
1432.2,131800.0
1432.3,131950.0
1432.4,132100.0
1432.5,132250.0
