elev_ft,stor_af
689.0,0.1
689.5,0.2
689.8,0.3
690.1,0.4
690.3,0.5
690.5,0.6
690.7,0.7
690.9,0.8
691.0,0.9
691.1,1.0
691.2,1.1
691.3,1.2
691.4,1.3
691.5,1.5
691.6,1.6
691.7,1.7
691.8,1.9
691.9,2.0
692.0,2.2
692.1,2.4
692.2,2.5
692.3,2.7
692.4,2.9
692.5,3.1
692.6,3.3
692.7,3.6
692.8,3.8
692.9,4.0
693.0,4.3
693.1,4.5
693.2,4.8
693.3,5.1
693.4,5.4
693.5,5.7
693.6,6.0
693.7,6.4
693.8,6.8
693.9,7.2
694.0,7.6
694.1,8.1
694.2,8.5
694.3,9.0
694.4,9.5
694.5,10.1
694.6,10.6
694.7,11.2
694.8,11.8
694.9,12.4
695.0,13.0
695.1,13.7
695.2,14.4
695.3,15.1
695.4,15.8
695.5,16.5
695.6,17.3
695.7,18.1
695.8,18.9
695.9,19.8
696.0,20.7
696.1,21.6
696.2,22.5
696.3,23.5
696.4,24.4
696.5,25.4
696.6,26.5
696.7,27.6
696.8,28.7
696.9,29.8
697.0,31.0
697.1,32.2
697.2,33.4
697.3,34.6
697.4,35.9
697.5,37.2
697.6,38.5
697.7,39.9
697.8,41.2
697.9,42.6
698.0,44.1
698.1,45.5
698.2,47.0
698.3,48.6
698.4,50.2
698.5,51.8
698.6,53.5
698.7,55.3
698.8,57.1
698.9,58.9
699.0,60.8
699.1,62.8
699.2,64.9
699.3,67.1
699.4,69.4
699.5,71.7
699.6,74.2
699.7,76.7
699.8,79.3
699.9,82.1
700.0,85.0
700.1,88.0
700.2,91.1
700.3,94.4
700.4,97.9
700.5,101.6
700.6,105.4
700.7,109.5
700.8,113.8
700.9,118.3
701.0,123.0
701.1,127.9
701.2,133.0
701.3,138.4
701.4,143.9
701.5,149.6
701.6,155.6
701.7,161.7
701.8,168.1
701.9,174.6
702.0,181.4
702.1,188.3
702.2,195.5
702.3,202.9
702.4,210.5
702.5,218.3
702.6,226.3
702.7,234.6
702.8,243.0
702.9,251.7
703.0,260.5
703.1,269.6
703.2,278.8
703.3,288.2
703.4,297.8
703.5,307.6
703.6,317.5
703.7,327.6
703.8,337.9
703.9,348.3
704.0,358.9
704.1,369.6
704.2,380.5
704.3,391.6
704.4,402.9
704.5,414.3
704.6,426.0
704.7,437.8
704.8,449.8
704.9,462.1
705.0,474.6
705.1,487.3
705.2,500.2
705.3,513.3
705.4,526.6
705.5,540.0
705.6,553.6
705.7,567.4
705.8,581.3
705.9,595.3
706.0,609.5
706.1,623.8
706.2,638.2
706.3,652.7
706.4,667.3
706.5,682.0
706.6,696.8
706.7,711.8
706.8,726.8
706.9,742.0
707.0,757.3
707.1,772.7
707.2,788.2
707.3,803.9
707.4,819.7
707.5,835.5
707.6,851.5
707.7,867.6
707.8,883.8
707.9,900.1
708.0,916.5
708.1,933.0
708.2,949.6
708.3,966.4
708.4,983.2
708.5,1000.1
708.6,1017.1
708.7,1034.3
708.8,1051.5
708.9,1068.8
709.0,1086.3
709.1,1103.8
709.2,1121.4
709.3,1139.2
709.4,1157.0
709.5,1174.9
709.6,1192.9
709.7,1211.0
709.8,1229.2
709.9,1247.5
710.0,1265.8
710.1,1284.3
710.2,1302.9
710.3,1321.5
710.4,1340.3
710.5,1359.1
710.6,1378.1
710.7,1397.2
710.8,1416.4
710.9,1435.7
711.0,1455.1
711.1,1474.6
711.2,1494.2
711.3,1513.9
711.4,1533.6
711.5,1553.5
711.6,1573.4
711.7,1593.4
711.8,1613.5
711.9,1633.7
712.0,1653.9
712.1,1674.3
712.2,1694.7
712.3,1715.2
712.4,1735.7
712.5,1756.4
712.6,1777.1
712.7,1797.9
712.8,1818.7
712.9,1839.6
713.0,1860.6
713.1,1881.6
713.2,1902.7
713.3,1923.9
713.4,1945.1
713.5,1966.4
713.6,1987.8
713.7,2009.2
713.8,2030.7
713.9,2052.2
714.0,2073.8
714.1,2095.4
714.2,2117.2
714.3,2138.9
714.4,2160.8
714.5,2182.6
714.6,2204.6
714.7,2226.6
714.8,2248.7
714.9,2270.8
715.0,2293.0
715.1,2315.3
715.2,2337.6
715.3,2360.1
715.4,2382.5
715.5,2405.1
715.6,2427.7
715.7,2450.3
715.8,2473.0
715.9,2495.8
716.0,2518.6
716.1,2541.5
716.2,2564.4
716.3,2587.5
716.4,2610.5
716.5,2633.7
716.6,2656.8
716.7,2680.1
716.8,2703.4
716.9,2726.8
717.0,2750.2
717.1,2773.7
717.2,2797.2
717.3,2820.8
717.4,2844.5
717.5,2868.2
717.6,2892.0
717.7,2915.9
717.8,2939.8
717.9,2963.8
718.0,2987.9
718.1,3012.0
718.2,3036.2
718.3,3060.5
718.4,3084.9
718.5,3109.4
718.6,3133.9
718.7,3158.5
718.8,3183.2
718.9,3208.0
719.0,3232.9
719.1,3257.9
719.2,3282.9
719.3,3308.1
719.4,3333.4
719.5,3358.8
719.6,3384.3
719.7,3409.9
719.8,3435.6
719.9,3461.4
720.0,3487.2
720.1,3513.2
720.2,3539.3
720.3,3565.5
720.4,3591.7
720.5,3618.1
720.6,3644.5
720.7,3671.1
720.8,3697.7
720.9,3724.4
721.0,3751.3
721.1,3778.2
721.2,3805.2
721.3,3832.3
721.4,3859.5
721.5,3886.8
721.6,3914.3
721.7,3941.8
721.8,3969.5
721.9,3997.2
722.0,4025.0
722.1,4053.0
722.2,4081.0
722.3,4109.1
722.4,4137.3
722.5,4165.5
722.6,4193.9
722.7,4222.3
722.8,4250.8
722.9,4279.4
723.0,4308.0
723.1,4336.7
723.2,4365.5
723.3,4394.3
723.4,4423.3
723.5,4452.2
723.6,4481.3
723.7,4510.4
723.8,4539.6
723.9,4568.8
724.0,4598.1
724.1,4627.5
724.2,4656.9
724.3,4686.5
724.4,4716.1
724.5,4745.8
724.6,4775.5
724.7,4805.4
724.8,4835.3
724.9,4865.3
725.0,4895.3
725.1,4925.5
725.2,4955.7
725.3,4986.0
725.4,5016.5
725.5,5047.0
725.6,5077.6
725.7,5108.2
725.8,5139.0
725.9,5169.9
726.0,5200.9
726.1,5231.9
726.2,5263.1
726.3,5294.3
726.4,5325.7
726.5,5357.2
726.6,5388.7
726.7,5420.4
726.8,5452.2
726.9,5484.0
727.0,5516.0
727.1,5548.0
727.2,5580.2
727.3,5612.4
727.4,5644.8
727.5,5677.3
727.6,5709.8
727.7,5742.5
727.8,5775.2
727.9,5808.1
728.0,5841.1
728.1,5874.2
728.2,5907.4
728.3,5940.7
728.4,5974.2
728.5,6007.7
728.6,6041.4
728.7,6075.2
728.8,6109.1
728.9,6143.1
729.0,6177.3
729.1,6211.5
729.2,6246.0
729.3,6280.5
729.4,6315.2
729.5,6350.0
729.6,6385.0
729.7,6420.0
729.8,6455.2
729.9,6490.6
730.0,6526.0
730.1,6561.5
730.2,6597.2
730.3,6633.0
730.4,6668.9
730.5,6704.9
730.6,6741.0
730.7,6777.2
730.8,6813.5
730.9,6849.9
731.0,6886.4
731.1,6923.0
731.2,6959.7
731.3,6996.5
731.4,7033.4
731.5,7070.4
731.6,7107.4
731.7,7144.6
731.8,7181.8
731.9,7219.1
732.0,7256.4
732.1,7293.9
732.2,7331.4
732.3,7369.0
732.4,7406.6
732.5,7444.3
732.6,7482.1
732.7,7520.0
732.8,7557.9
732.9,7595.9
733.0,7634.0
733.1,7672.1
733.2,7710.3
733.3,7748.6
733.4,7786.9
733.5,7825.3
733.6,7863.8
733.7,7902.4
733.8,7941.1
733.9,7979.8
734.0,8018.6
734.1,8057.5
734.2,8096.5
734.3,8135.6
734.4,8174.7
734.5,8213.9
734.6,8253.2
734.7,8292.6
734.8,8332.0
734.9,8371.6
735.0,8411.2
735.1,8450.9
735.2,8490.8
735.3,8530.7
735.4,8570.7
735.5,8610.9
735.6,8651.2
735.7,8691.7
735.8,8732.3
735.9,8773.0
736.0,8813.9
736.1,8855.0
736.2,8896.2
736.3,8937.5
736.4,8979.0
736.5,9020.7
736.6,9062.4
736.7,9104.3
736.8,9146.4
736.9,9188.6
737.0,9230.9
737.1,9273.4
737.2,9315.9
737.3,9358.7
737.4,9401.5
737.5,9444.5
737.6,9487.7
737.7,9530.9
737.8,9574.3
737.9,9617.8
738.0,9661.4
738.1,9705.2
738.2,9749.0
738.3,9793.0
738.4,9837.1
738.5,9881.3
738.6,9925.6
738.7,9970.1
738.8,10014.6
738.9,10059.3
739.0,10104.1
739.1,10149.0
739.2,10194.0
739.3,10239.2
739.4,10284.5
739.5,10329.9
739.6,10375.4
739.7,10421.1
739.8,10466.9
739.9,10512.8
740.0,10558.9
740.1,10605.1
740.2,10651.5
740.3,10698.1
740.4,10744.8
740.5,10791.7
740.6,10838.7
740.7,10885.8
740.8,10933.2
740.9,10980.6
741.0,11028.2
741.1,11075.9
741.2,11123.7
741.3,11171.7
741.4,11219.7
741.5,11267.9
741.6,11316.3
741.7,11364.7
741.8,11413.3
741.9,11461.9
742.0,11510.7
742.1,11559.6
742.2,11608.6
742.3,11657.7
742.4,11707.0
742.5,11756.4
742.6,11805.9
742.7,11855.5
742.8,11905.2
742.9,11955.0
743.0,12004.9
743.1,12054.9
743.2,12105.1
743.3,12155.3
743.4,12205.7
743.5,12256.1
743.6,12306.7
743.7,12357.3
743.8,12408.1
743.9,12459.0
744.0,12509.9
744.1,12561.0
744.2,12612.2
744.3,12663.5
744.4,12714.9
744.5,12766.3
744.6,12817.9
744.7,12869.7
744.8,12921.5
744.9,12973.4
745.0,13025.5
745.1,13077.6
745.2,13129.9
745.3,13182.3
745.4,13234.9
745.5,13287.6
745.6,13340.4
745.7,13393.3
745.8,13446.4
745.9,13499.6
746.0,13552.9
746.1,13606.4
746.2,13660.0
746.3,13713.7
746.4,13767.6
746.5,13821.6
746.6,13875.8
746.7,13930.2
746.8,13984.7
746.9,14039.5
747.0,14094.4
747.1,14149.5
747.2,14204.9
747.3,14260.4
747.4,14316.2
747.5,14372.2
747.6,14428.4
747.7,14484.8
747.8,14541.5
747.9,14598.3
748.0,14655.3
748.1,14712.5
748.2,14769.9
748.3,14827.5
748.4,14885.2
748.5,14943.1
748.6,15001.3
748.7,15059.6
748.8,15118.1
748.9,15176.9
749.0,15235.8
749.1,15294.9
749.2,15354.3
749.3,15413.9
749.4,15473.7
749.5,15533.8
749.6,15594.1
749.7,15654.6
749.8,15715.3
749.9,15776.3
750.0,15837.4
750.1,15898.6
750.2,15960.1
750.3,16021.7
750.4,16083.5
750.5,16145.5
750.6,16207.7
750.7,16270.1
750.8,16332.6
750.9,16395.3
751.0,16458.2
751.1,16521.3
751.2,16584.6
751.3,16648.2
751.4,16711.9
751.5,16775.8
751.6,16840.0
751.7,16904.4
751.8,16968.9
751.9,17033.7
752.0,17098.7
752.1,17163.9
752.2,17229.3
752.3,17294.8
752.4,17360.6
752.5,17426.6
752.6,17492.7
752.7,17559.1
752.8,17625.7
752.9,17692.5
753.0,17759.6
753.1,17826.8
753.2,17894.3
753.3,17962.0
753.4,18029.9
753.5,18098.0
753.6,18166.3
753.7,18234.8
753.8,18303.6
753.9,18372.5
754.0,18441.6
754.1,18511.0
754.2,18580.5
754.3,18650.2
754.4,18720.2
754.5,18790.2
754.6,18860.5
754.7,18930.9
754.8,19001.5
754.9,19072.3
755.0,19143.3
755.1,19214.4
755.2,19285.7
755.3,19357.2
755.4,19428.9
755.5,19500.8
755.6,19572.9
755.7,19645.1
755.8,19717.6
755.9,19790.2
756.0,19863.0
756.1,19936.0
756.2,20009.2
756.3,20082.5
756.4,20156.0
756.5,20229.7
756.6,20303.6
756.7,20377.6
756.8,20451.8
756.9,20526.2
757.0,20600.8
757.1,20675.5
757.2,20750.5
757.3,20825.6
757.4,20900.9
757.5,20976.4
757.6,21052.1
757.7,21128.0
757.8,21204.2
757.9,21280.5
758.0,21357.1
758.1,21433.9
758.2,21511.0
758.3,21588.3
758.4,21665.9
758.5,21743.7
758.6,21821.8
758.7,21900.1
758.8,21978.6
758.9,22057.4
759.0,22136.4
759.1,22215.6
759.2,22295.0
759.3,22374.7
759.4,22454.6
759.5,22534.7
759.6,22615.1
759.7,22695.7
759.8,22776.5
759.9,22857.6
760.0,22938.9
760.1,23020.4
760.2,23102.1
760.3,23184.1
760.4,23266.3
760.5,23348.7
760.6,23431.3
760.7,23514.2
760.8,23597.3
760.9,23680.6
761.0,23764.2
761.1,23847.9
761.2,23931.9
761.3,24016.2
761.4,24100.6
761.5,24185.3
761.6,24270.2
761.7,24355.4
761.8,24440.7
761.9,24526.3
762.0,24612.1
762.1,24698.2
762.2,24784.4
762.3,24870.9
762.4,24957.7
762.5,25044.6
762.6,25131.8
762.7,25219.3
762.8,25307.0
762.9,25394.9
763.0,25483.0
763.1,25571.4
763.2,25660.0
763.3,25748.9
763.4,25837.9
763.5,25927.2
763.6,26016.8
763.7,26106.5
763.8,26196.6
763.9,26286.8
764.0,26377.4
